period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10>150?
2025-01-01T00:00:00-05:00,2025-01-01T01:00:00-05:00,2025-01-01T05:00:00+00:00,2025-01-01T06:00:00+00:00,MOD-00247,60,82.325,7.902,8.199,13.222,74.635,163.38,2.268,33.241,22.478,0
2025-01-01T01:00:00-05:00,2025-01-01T02:00:00-05:00,2025-01-01T06:00:00+00:00,2025-01-01T07:00:00+00:00,MOD-00247,60,79.515,8.503,5.07,10.872,70.607,148.852,2.097,32.763,22.029,0
2025-01-01T02:00:00-05:00,2025-01-01T03:00:00-05:00,2025-01-01T07:00:00+00:00,2025-01-01T08:00:00+00:00,MOD-00247,60,84.61,8.417,7.376,19.772,164.266,140.029,2.72,33.929,23.54,1
2025-01-01T03:00:00-05:00,2025-01-01T04:00:00-05:00,2025-01-01T08:00:00+00:00,2025-01-01T09:00:00+00:00,MOD-00247,60,86.223,8.518,5.425,19.517,109.347,131.618,3.117,33.751,23.336,0
2025-01-01T04:00:00-05:00,2025-01-01T05:00:00-05:00,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00,MOD-00247,60,86.475,8.66,3.07,18.88,175.838,123.17,3.197,33.423,23.484,1
2025-01-01T05:00:00-05:00,2025-01-01T06:00:00-05:00,2025-01-01T10:00:00+00:00,2025-01-01T11:00:00+00:00,MOD-00247,60,86.968,8.912,1.733,17.65,185.894,127.381,3.485,33.654,23.115,1
2025-01-01T06:00:00-05:00,2025-01-01T07:00:00-05:00,2025-01-01T11:00:00+00:00,2025-01-01T12:00:00+00:00,MOD-00247,60,86.963,8.992,2.068,19.836,195.938,133.834,3.517,33.628,21.434,1
2025-01-01T07:00:00-05:00,2025-01-01T08:00:00-05:00,2025-01-01T12:00:00+00:00,2025-01-01T13:00:00+00:00,MOD-00247,60,87.053,8.848,1.728,14.72,127.955,131.214,3.536,33.298,21.496,0
2025-01-01T08:00:00-05:00,2025-01-01T09:00:00-05:00,2025-01-01T13:00:00+00:00,2025-01-01T14:00:00+00:00,MOD-00247,60,87.602,8.722,1.269,9.112,80.276,142.633,3.751,33.412,21.719,0
2025-01-01T09:00:00-05:00,2025-01-01T10:00:00-05:00,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,MOD-00247,60,88.282,9.008,1.069,4.603,30.688,175.574,3.87,33.681,21.014,0
2025-01-01T10:00:00-05:00,2025-01-01T11:00:00-05:00,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,MOD-00247,60,85.872,9.835,0.573,1.278,4.052,171.008,3.331,32.413,19.69,0
2025-01-01T11:00:00-05:00,2025-01-01T12:00:00-05:00,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,MOD-00247,60,83.073,10.383,0.695,1.768,7.09,181.865,2.791,31.844,19.109,0
2025-01-01T12:00:00-05:00,2025-01-01T13:00:00-05:00,2025-01-01T17:00:00+00:00,2025-01-01T18:00:00+00:00,MOD-00247,60,83.088,10.077,1.052,1.807,4.858,160.574,2.725,32.456,18.069,0
2025-01-01T13:00:00-05:00,2025-01-01T14:00:00-05:00,2025-01-01T18:00:00+00:00,2025-01-01T19:00:00+00:00,MOD-00247,60,83.598,9.523,1.715,2.275,5.422,169.467,2.772,32.335,17.11,0
2025-01-01T14:00:00-05:00,2025-01-01T15:00:00-05:00,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,MOD-00247,60,82.582,9.04,1.01,1.225,2.107,163.612,2.52,31.218,16.617,0
2025-01-01T15:00:00-05:00,2025-01-01T16:00:00-05:00,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,MOD-00247,60,80.203,8.563,3.639,3.746,4.205,166.928,2.118,30.876,15.592,0
2025-01-01T16:00:00-05:00,2025-01-01T17:00:00-05:00,2025-01-01T21:00:00+00:00,2025-01-01T22:00:00+00:00,MOD-00247,60,81.56,8.232,7.425,7.564,8.36,174.268,2.259,31.41,15.309,0
2025-01-01T17:00:00-05:00,2025-01-01T18:00:00-05:00,2025-01-01T22:00:00+00:00,2025-01-01T23:00:00+00:00,MOD-00247,60,81.583,8.147,8.452,8.609,9.683,178.669,2.251,31.794,13.442,0
2025-01-01T18:00:00-05:00,2025-01-01T19:00:00-05:00,2025-01-01T23:00:00+00:00,2025-01-02T00:00:00+00:00,MOD-00247,60,78.957,8.2,10.562,10.716,11.519,180.133,2.078,30.084,13.733,0
2025-01-01T19:00:00-05:00,2025-01-01T20:00:00-05:00,2025-01-02T00:00:00+00:00,2025-01-02T01:00:00+00:00,MOD-00247,60,67.677,7.853,2.998,3.067,3.712,158.562,1.727,27.723,13.361,0
2025-01-01T20:00:00-05:00,2025-01-01T21:00:00-05:00,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,MOD-00247,60,63.302,7.348,0.551,0.602,1.122,158.873,2.56,27.072,12.233,0
2025-01-01T21:00:00-05:00,2025-01-01T22:00:00-05:00,2025-01-02T02:00:00+00:00,2025-01-02T03:00:00+00:00,MOD-00247,60,62.535,6.745,0.369,0.407,0.964,147.278,2.575,27.51,13.072,0
2025-01-01T22:00:00-05:00,2025-01-01T23:00:00-05:00,2025-01-02T03:00:00+00:00,2025-01-02T04:00:00+00:00,MOD-00247,60,65.945,6.112,0.302,0.345,0.838,143.078,2.038,27.905,12.536,0
2025-01-01T23:00:00-05:00,2025-01-02T00:00:00-05:00,2025-01-02T04:00:00+00:00,2025-01-02T05:00:00+00:00,MOD-00247,60,65.563,5.56,0.275,0.317,0.731,143.787,2.158,27.837,12.883,0
2025-01-02T00:00:00-05:00,2025-01-02T01:00:00-05:00,2025-01-02T05:00:00+00:00,2025-01-02T06:00:00+00:00,MOD-00247,60,63.75,5.118,0.203,0.243,1.127,136.039,2.58,28.919,15.273,0
2025-01-02T01:00:00-05:00,2025-01-02T02:00:00-05:00,2025-01-02T06:00:00+00:00,2025-01-02T07:00:00+00:00,MOD-00247,60,62.345,4.78,0.2,0.25,1.562,131.519,2.756,29.774,17.055,0
2025-01-02T02:00:00-05:00,2025-01-02T03:00:00-05:00,2025-01-02T07:00:00+00:00,2025-01-02T08:00:00+00:00,MOD-00247,60,59.848,4.54,0.283,0.328,1.656,129.749,2.675,30.275,17.846,0
2025-01-02T03:00:00-05:00,2025-01-02T04:00:00-05:00,2025-01-02T08:00:00+00:00,2025-01-02T09:00:00+00:00,MOD-00247,60,56.025,4.345,0.475,0.539,2.466,133.007,2.549,29.975,18.286,0
2025-01-02T04:00:00-05:00,2025-01-02T05:00:00-05:00,2025-01-02T09:00:00+00:00,2025-01-02T10:00:00+00:00,MOD-00247,60,51.732,3.98,2.532,2.619,5.658,128.218,2.862,31.232,20.793,0
2025-01-02T05:00:00-05:00,2025-01-02T06:00:00-05:00,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,MOD-00247,60,48.077,3.592,2.298,2.394,4.272,131.064,2.822,31.992,21.23,0
2025-01-02T06:00:00-05:00,2025-01-02T07:00:00-05:00,2025-01-02T11:00:00+00:00,2025-01-02T12:00:00+00:00,MOD-00247,60,45.807,3.43,0.645,0.716,2.742,136.292,2.346,32.596,22.102,0
2025-01-02T07:00:00-05:00,2025-01-02T08:00:00-05:00,2025-01-02T12:00:00+00:00,2025-01-02T13:00:00+00:00,MOD-00247,60,42.643,3.373,0.69,0.785,3.434,142.699,1.88,32.953,22.518,0
2025-01-02T08:00:00-05:00,2025-01-02T09:00:00-05:00,2025-01-02T13:00:00+00:00,2025-01-02T14:00:00+00:00,MOD-00247,60,39.645,4.208,0.715,0.861,7.339,144.354,2.339,32.413,23.813,0
2025-01-02T09:00:00-05:00,2025-01-02T10:00:00-05:00,2025-01-02T14:00:00+00:00,2025-01-02T15:00:00+00:00,MOD-00247,60,37.047,5.558,0.779,0.879,7.404,144.831,2.796,31.547,23.557,0
2025-01-02T10:00:00-05:00,2025-01-02T11:00:00-05:00,2025-01-02T15:00:00+00:00,2025-01-02T16:00:00+00:00,MOD-00247,60,33.303,7.047,0.815,0.96,8.086,146.756,3.024,29.565,24.338,0
2025-01-02T11:00:00-05:00,2025-01-02T12:00:00-05:00,2025-01-02T16:00:00+00:00,2025-01-02T17:00:00+00:00,MOD-00247,60,28.84,8.533,1.041,1.246,9.133,148.5,2.904,15.856,25.82,0
2025-01-02T12:00:00-05:00,2025-01-02T13:00:00-05:00,2025-01-02T17:00:00+00:00,2025-01-02T18:00:00+00:00,MOD-00247,60,26.315,9.048,0.723,0.923,7.885,144.075,2.745,13.475,27.034,0
2025-01-02T13:00:00-05:00,2025-01-02T14:00:00-05:00,2025-01-02T18:00:00+00:00,2025-01-02T19:00:00+00:00,MOD-00247,60,25.307,9.363,0.691,0.839,6.068,145.727,2.853,15.542,27.422,0
