period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10>150?
2025-01-01T00:00:00-05:00,2025-01-01T01:00:00-05:00,2025-01-01T05:00:00+00:00,2025-01-01T06:00:00+00:00,MOD-00257,60,85.252,7.04,4.22,7.674,56.026,168.807,2.445,34.852,21.134,0
2025-01-01T01:00:00-05:00,2025-01-01T02:00:00-05:00,2025-01-01T06:00:00+00:00,2025-01-01T07:00:00+00:00,MOD-00257,60,81.448,8.197,3.531,8.403,61.95,151.041,2.135,33.512,22.379,0
2025-01-01T02:00:00-05:00,2025-01-01T03:00:00-05:00,2025-01-01T07:00:00+00:00,2025-01-01T08:00:00+00:00,MOD-00257,60,87.05,8.123,3.215,12.864,118.288,135.113,2.404,34.907,22.484,0
2025-01-01T03:00:00-05:00,2025-01-01T04:00:00-05:00,2025-01-01T08:00:00+00:00,2025-01-01T09:00:00+00:00,MOD-00257,60,89.192,8.152,2.7,12.671,102.398,127.951,2.523,34.678,22.914,0
2025-01-01T04:00:00-05:00,2025-01-01T05:00:00-05:00,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00,MOD-00257,60,88.498,8.333,2.559,13.64,122.424,142.686,2.521,33.725,23.237,0
2025-01-01T05:00:00-05:00,2025-01-01T06:00:00-05:00,2025-01-01T10:00:00+00:00,2025-01-01T11:00:00+00:00,MOD-00257,60,88.902,8.572,3.118,14.908,143.385,187.45,2.513,34.266,21.484,0
2025-01-01T06:00:00-05:00,2025-01-01T07:00:00-05:00,2025-01-01T11:00:00+00:00,2025-01-01T12:00:00+00:00,MOD-00257,60,88.763,9.025,2.799,14.315,132.901,147.883,2.604,36.224,18.084,0
2025-01-01T07:00:00-05:00,2025-01-01T08:00:00-05:00,2025-01-01T12:00:00+00:00,2025-01-01T13:00:00+00:00,MOD-00257,60,88.327,9.213,3.085,10.503,66.088,173.321,2.555,35.249,19.516,0
2025-01-01T08:00:00-05:00,2025-01-01T09:00:00-05:00,2025-01-01T13:00:00+00:00,2025-01-01T14:00:00+00:00,MOD-00257,60,88.563,9.15,2.696,5.996,26.271,172.051,2.62,36.277,16.946,0
2025-01-01T09:00:00-05:00,2025-01-01T10:00:00-05:00,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,MOD-00257,60,88.095,9.423,1.649,2.835,8.464,148.514,2.569,34.039,21.82,0
2025-01-01T10:00:00-05:00,2025-01-01T11:00:00-05:00,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,MOD-00257,60,85.703,10.05,1.288,1.723,4.648,152.401,2.406,32.27,22.735,0
2025-01-01T11:00:00-05:00,2025-01-01T12:00:00-05:00,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,MOD-00257,60,83.533,10.167,0.994,1.556,4.954,125.578,2.285,31.363,22.547,0
2025-01-01T12:00:00-05:00,2025-01-01T13:00:00-05:00,2025-01-01T17:00:00+00:00,2025-01-01T18:00:00+00:00,MOD-00257,60,83.973,9.982,1.252,1.751,4.18,144.524,2.286,32.314,20.223,0
2025-01-01T13:00:00-05:00,2025-01-01T14:00:00-05:00,2025-01-01T18:00:00+00:00,2025-01-01T19:00:00+00:00,MOD-00257,60,83.388,9.673,1.266,1.549,2.696,146.406,2.285,31.81,19.287,0
2025-01-01T14:00:00-05:00,2025-01-01T15:00:00-05:00,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,MOD-00257,60,82.365,9.068,1.021,1.144,2.707,130.244,2.224,30.897,18.466,0
2025-01-01T15:00:00-05:00,2025-01-01T16:00:00-05:00,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,MOD-00257,60,80.218,8.878,1.162,1.243,1.831,136.64,2.072,30.851,17.587,0
2025-01-01T16:00:00-05:00,2025-01-01T17:00:00-05:00,2025-01-01T21:00:00+00:00,2025-01-01T22:00:00+00:00,MOD-00257,60,81.475,8.507,1.295,1.411,2.463,167.592,2.156,31.781,15.598,0
2025-01-01T17:00:00-05:00,2025-01-01T18:00:00-05:00,2025-01-01T22:00:00+00:00,2025-01-01T23:00:00+00:00,MOD-00257,60,82.14,8.243,2.083,2.226,2.647,181.32,2.231,31.659,13.433,0
2025-01-01T18:00:00-05:00,2025-01-01T19:00:00-05:00,2025-01-01T23:00:00+00:00,2025-01-02T00:00:00+00:00,MOD-00257,60,80.655,8.01,2.245,2.381,3.217,159.606,2.11,30.552,14.342,0
2025-01-01T19:00:00-05:00,2025-01-01T20:00:00-05:00,2025-01-02T00:00:00+00:00,2025-01-02T01:00:00+00:00,MOD-00257,60,69.512,7.75,0.938,0.991,1.568,140.795,1.551,27.643,14.713,0
2025-01-01T20:00:00-05:00,2025-01-01T21:00:00-05:00,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,MOD-00257,60,65.558,7.253,0.57,0.604,1.043,126.133,1.665,27.464,12.873,0
2025-01-01T21:00:00-05:00,2025-01-01T22:00:00-05:00,2025-01-02T02:00:00+00:00,2025-01-02T03:00:00+00:00,MOD-00257,60,64.343,6.7,0.405,0.429,0.841,116.033,1.886,27.695,12.812,0
2025-01-01T22:00:00-05:00,2025-01-01T23:00:00-05:00,2025-01-02T03:00:00+00:00,2025-01-02T04:00:00+00:00,MOD-00257,60,66.112,6.047,0.274,0.304,0.915,115.981,1.59,28.324,10.637,0
2025-01-01T23:00:00-05:00,2025-01-02T00:00:00-05:00,2025-01-02T04:00:00+00:00,2025-01-02T05:00:00+00:00,MOD-00257,60,64.513,5.527,0.206,0.239,1.035,114.434,1.897,28.341,12.176,0
2025-01-02T00:00:00-05:00,2025-01-02T01:00:00-05:00,2025-01-02T05:00:00+00:00,2025-01-02T06:00:00+00:00,MOD-00257,60,61.503,5.242,0.179,0.209,0.992,103.935,2.657,28.986,15.576,0
2025-01-02T01:00:00-05:00,2025-01-02T02:00:00-05:00,2025-01-02T06:00:00+00:00,2025-01-02T07:00:00+00:00,MOD-00257,60,60.098,4.817,0.189,0.213,0.873,98.672,2.492,29.705,17.353,0
2025-01-02T02:00:00-05:00,2025-01-02T03:00:00-05:00,2025-01-02T07:00:00+00:00,2025-01-02T08:00:00+00:00,MOD-00257,60,58.858,4.245,0.205,0.231,1.234,93.4,2.582,30.35,18.787,0
2025-01-02T03:00:00-05:00,2025-01-02T04:00:00-05:00,2025-01-02T08:00:00+00:00,2025-01-02T09:00:00+00:00,MOD-00257,60,56.03,3.965,0.38,0.405,1.16,97.556,2.335,30.112,19.221,0
2025-01-02T04:00:00-05:00,2025-01-02T05:00:00-05:00,2025-01-02T09:00:00+00:00,2025-01-02T10:00:00+00:00,MOD-00257,60,51.382,3.68,0.393,0.427,2.645,89.931,2.133,30.661,22.623,0
2025-01-02T05:00:00-05:00,2025-01-02T06:00:00-05:00,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,MOD-00257,60,46.618,3.435,0.433,0.543,3.131,102.593,1.862,31.071,23.492,0
2025-01-02T06:00:00-05:00,2025-01-02T07:00:00-05:00,2025-01-02T11:00:00+00:00,2025-01-02T12:00:00+00:00,MOD-00257,60,44.015,3.337,0.417,0.498,2.455,109.748,1.828,31.618,24.46,0
2025-01-02T07:00:00-05:00,2025-01-02T08:00:00-05:00,2025-01-02T12:00:00+00:00,2025-01-02T13:00:00+00:00,MOD-00257,60,40.362,3.527,0.388,0.451,2.922,108.955,2.054,31.726,26.324,0
2025-01-02T08:00:00-05:00,2025-01-02T09:00:00-05:00,2025-01-02T13:00:00+00:00,2025-01-02T14:00:00+00:00,MOD-00257,60,35.522,5.415,0.423,0.486,3.531,117.044,2.179,30.937,28.127,0
2025-01-02T09:00:00-05:00,2025-01-02T10:00:00-05:00,2025-01-02T14:00:00+00:00,2025-01-02T15:00:00+00:00,MOD-00257,60,36.04,5.572,0.477,0.529,2.936,121.744,2.106,31.444,25.191,0
2025-01-02T10:00:00-05:00,2025-01-02T11:00:00-05:00,2025-01-02T15:00:00+00:00,2025-01-02T16:00:00+00:00,MOD-00257,60,33.105,6.83,0.557,0.643,3.822,131.762,2.288,30.877,27.695,0
2025-01-02T11:00:00-05:00,2025-01-02T12:00:00-05:00,2025-01-02T16:00:00+00:00,2025-01-02T17:00:00+00:00,MOD-00257,60,28.188,8.75,0.593,0.666,4.411,128.438,2.146,15.733,31.112,0
2025-01-02T12:00:00-05:00,2025-01-02T13:00:00-05:00,2025-01-02T17:00:00+00:00,2025-01-02T18:00:00+00:00,MOD-00257,60,22.915,11.323,0.585,0.667,5.34,117.775,2.401,21.508,32.543,0
2025-01-02T13:00:00-05:00,2025-01-02T14:00:00-05:00,2025-01-02T18:00:00+00:00,2025-01-02T19:00:00+00:00,MOD-00257,60,22.15,11.733,0.558,0.639,4.05,116.085,2.282,29.562,29.705,0
2025-01-02T14:00:00-05:00,2025-01-02T15:00:00-05:00,2025-01-02T19:00:00+00:00,2025-01-02T20:00:00+00:00,MOD-00257,60,24.572,11.002,0.634,0.715,5.459,132.35,2.335,31.95,26.014,0
2025-01-02T15:00:00-05:00,2025-01-02T16:00:00-05:00,2025-01-02T20:00:00+00:00,2025-01-02T21:00:00+00:00,MOD-00257,60,33.453,8.907,0.711,0.78,2.585,149.568,2.093,33,20.154,0
2025-01-02T16:00:00-05:00,2025-01-02T17:00:00-05:00,2025-01-02T21:00:00+00:00,2025-01-02T22:00:00+00:00,MOD-00257,60,45.683,5.042,0.678,0.762,3.206,160.178,1.818,36.706,17.731,0
2025-01-02T17:00:00-05:00,2025-01-02T18:00:00-05:00,2025-01-02T22:00:00+00:00,2025-01-02T23:00:00+00:00,MOD-00257,60,52.528,3.607,1.03,1.087,2.764,158.317,2.037,35.897,17.331,0
2025-01-02T18:00:00-05:00,2025-01-02T19:00:00-05:00,2025-01-02T23:00:00+00:00,2025-01-03T00:00:00+00:00,MOD-00257,60,56.538,2.985,1.543,1.606,3.064,156.27,2.308,34.882,16.919,0
2025-01-02T19:00:00-05:00,2025-01-02T20:00:00-05:00,2025-01-03T00:00:00+00:00,2025-01-03T01:00:00+00:00,MOD-00257,60,51.82,2.742,1.606,1.668,3.079,145.571,2.473,33.27,18.075,0
2025-01-02T20:00:00-05:00,2025-01-02T21:00:00-05:00,2025-01-03T01:00:00+00:00,2025-01-03T02:00:00+00:00,MOD-00257,60,47.982,2.61,2.079,2.129,3.249,138.275,2.076,32.552,18.892,0
2025-01-02T21:00:00-05:00,2025-01-02T22:00:00-05:00,2025-01-03T02:00:00+00:00,2025-01-03T03:00:00+00:00,MOD-00257,60,47.863,2.388,2.188,2.238,2.991,132.64,2.21,32.351,18.683,0
2025-01-02T22:00:00-05:00,2025-01-02T23:00:00-05:00,2025-01-03T03:00:00+00:00,2025-01-03T04:00:00+00:00,MOD-00257,60,46.967,1.975,2.06,2.103,3.195,129.875,2.102,32.197,18.792,0
2025-01-02T23:00:00-05:00,2025-01-03T00:00:00-05:00,2025-01-03T04:00:00+00:00,2025-01-03T05:00:00+00:00,MOD-00257,60,46.522,1.778,1.956,2.001,3.167,127.536,2.06,32.106,19.105,0
2025-01-03T00:00:00-05:00,2025-01-03T01:00:00-05:00,2025-01-03T05:00:00+00:00,2025-01-03T06:00:00+00:00,MOD-00257,60,47.378,1.615,1.75,1.798,3.34,119.656,2.212,31.971,19.603,0
2025-01-03T01:00:00-05:00,2025-01-03T02:00:00-05:00,2025-01-03T06:00:00+00:00,2025-01-03T07:00:00+00:00,MOD-00257,60,47.54,1.505,1.409,1.457,3.195,119.58,2.351,32.044,19.803,0
2025-01-03T02:00:00-05:00,2025-01-03T03:00:00-05:00,2025-01-03T07:00:00+00:00,2025-01-03T08:00:00+00:00,MOD-00257,60,47.745,1.398,1.243,1.286,2.545,112.683,2.396,31.917,20.163,0
2025-01-03T03:00:00-05:00,2025-01-03T04:00:00-05:00,2025-01-03T08:00:00+00:00,2025-01-03T09:00:00+00:00,MOD-00257,60,48.46,1.322,1.241,1.295,3.192,112.872,2.344,31.806,19.927,0
2025-01-03T04:00:00-05:00,2025-01-03T05:00:00-05:00,2025-01-03T09:00:00+00:00,2025-01-03T10:00:00+00:00,MOD-00257,60,49.085,1.278,1.366,1.41,3.19,114.386,2.346,31.793,19.226,0
2025-01-03T05:00:00-05:00,2025-01-03T06:00:00-05:00,2025-01-03T10:00:00+00:00,2025-01-03T11:00:00+00:00,MOD-00257,60,47.423,1.292,1.27,1.467,9.277,124.297,2.236,32.092,20.1,0
2025-01-03T06:00:00-05:00,2025-01-03T07:00:00-05:00,2025-01-03T11:00:00+00:00,2025-01-03T12:00:00+00:00,MOD-00257,60,44.452,1.25,0.985,1.045,2.324,122.203,1.615,32.146,21.854,0
2025-01-03T07:00:00-05:00,2025-01-03T08:00:00-05:00,2025-01-03T12:00:00+00:00,2025-01-03T13:00:00+00:00,MOD-00257,60,44.648,1.355,1.039,1.111,2.994,129.47,1.686,32.643,21.87,0
2025-01-03T08:00:00-05:00,2025-01-03T09:00:00-05:00,2025-01-03T13:00:00+00:00,2025-01-03T14:00:00+00:00,MOD-00257,60,43.243,3.388,1.913,1.994,5.606,147.578,1.912,31.599,22.21,0
2025-01-03T09:00:00-05:00,2025-01-03T10:00:00-05:00,2025-01-03T14:00:00+00:00,2025-01-03T15:00:00+00:00,MOD-00257,60,43.127,3.667,2.085,2.173,6.26,137.452,1.916,31.537,21.48,0
2025-01-03T10:00:00-05:00,2025-01-03T11:00:00-05:00,2025-01-03T15:00:00+00:00,2025-01-03T16:00:00+00:00,MOD-00257,60,37.635,5.112,1.803,1.894,5.122,139.983,2.023,30.594,24.672,0
2025-01-03T11:00:00-05:00,2025-01-03T12:00:00-05:00,2025-01-03T16:00:00+00:00,2025-01-03T17:00:00+00:00,MOD-00257,60,32.253,6.83,1.457,1.543,4.29,141.637,2.272,26.755,27.49,0
2025-01-03T12:00:00-05:00,2025-01-03T13:00:00-05:00,2025-01-03T17:00:00+00:00,2025-01-03T18:00:00+00:00,MOD-00257,60,28.595,8.342,1.685,1.793,5.903,136.398,2.105,19.478,24.149,0
2025-01-03T13:00:00-05:00,2025-01-03T14:00:00-05:00,2025-01-03T18:00:00+00:00,2025-01-03T19:00:00+00:00,MOD-00257,60,28.768,7.578,1.634,1.725,4.323,140.309,2.108,24,26.685,0
2025-01-03T14:00:00-05:00,2025-01-03T15:00:00-05:00,2025-01-03T19:00:00+00:00,2025-01-03T20:00:00+00:00,MOD-00257,60,27.968,7.572,1.797,1.874,4.766,145.241,2.105,22.094,24.21,0
2025-01-03T15:00:00-05:00,2025-01-03T16:00:00-05:00,2025-01-03T20:00:00+00:00,2025-01-03T21:00:00+00:00,MOD-00257,60,29.665,6.097,2.316,2.399,4.094,152.604,2.209,32.912,22.392,0
2025-01-03T16:00:00-05:00,2025-01-03T17:00:00-05:00,2025-01-03T21:00:00+00:00,2025-01-03T22:00:00+00:00,MOD-00257,60,35.472,3.353,2.736,2.81,4.391,176.054,2.001,34.976,19.898,0
2025-01-03T17:00:00-05:00,2025-01-03T18:00:00-05:00,2025-01-03T22:00:00+00:00,2025-01-03T23:00:00+00:00,MOD-00257,60,39.635,2.098,3.615,3.715,5.359,193.849,1.873,35.176,19.296,0
2025-01-03T18:00:00-05:00,2025-01-03T19:00:00-05:00,2025-01-03T23:00:00+00:00,2025-01-04T00:00:00+00:00,MOD-00257,60,42.142,1.28,4.258,4.334,6.151,180.669,1.621,34.83,18.784,0
2025-01-03T19:00:00-05:00,2025-01-03T20:00:00-05:00,2025-01-04T00:00:00+00:00,2025-01-04T01:00:00+00:00,MOD-00257,60,44.432,0.633,4.825,4.929,5.968,194.909,1.76,35.212,16.378,0
2025-01-03T20:00:00-05:00,2025-01-03T21:00:00-05:00,2025-01-04T01:00:00+00:00,2025-01-04T02:00:00+00:00,MOD-00257,60,47.228,0.02,5.438,5.532,6.609,198.74,2.737,35.421,14.404,0
2025-01-03T21:00:00-05:00,2025-01-03T22:00:00-05:00,2025-01-04T02:00:00+00:00,2025-01-04T03:00:00+00:00,MOD-00257,60,48.95,-0.282,5.022,5.099,6.18,185.369,2.648,34.633,15.428,0
2025-01-03T22:00:00-05:00,2025-01-03T23:00:00-05:00,2025-01-04T03:00:00+00:00,2025-01-04T04:00:00+00:00,MOD-00257,60,49.172,-0.553,3.978,4.03,4.869,163.88,2.65,33.913,16.294,0
2025-01-03T23:00:00-05:00,2025-01-04T00:00:00-05:00,2025-01-04T04:00:00+00:00,2025-01-04T05:00:00+00:00,MOD-00257,60,49.127,-0.828,3.511,3.572,4.598,158.231,2.705,33.539,17.052,0
2025-01-04T00:00:00-05:00,2025-01-04T01:00:00-05:00,2025-01-04T05:00:00+00:00,2025-01-04T06:00:00+00:00,MOD-00257,60,51.353,-1.365,3.436,3.506,4.844,147.887,2.822,33.762,15.54,0
2025-01-04T01:00:00-05:00,2025-01-04T02:00:00-05:00,2025-01-04T06:00:00+00:00,2025-01-04T07:00:00+00:00,MOD-00257,60,52.043,-1.645,2.854,2.923,3.832,138.652,2.844,32.939,18.087,0
2025-01-04T02:00:00-05:00,2025-01-04T03:00:00-05:00,2025-01-04T07:00:00+00:00,2025-01-04T08:00:00+00:00,MOD-00257,60,50.793,-1.788,2.022,2.09,2.714,128.274,2.799,32.717,20.407,0
2025-01-04T03:00:00-05:00,2025-01-04T04:00:00-05:00,2025-01-04T08:00:00+00:00,2025-01-04T09:00:00+00:00,MOD-00257,60,46.863,-1.8,0.934,0.978,2.144,113.366,2.465,32.754,23.837,0
2025-01-04T04:00:00-05:00,2025-01-04T05:00:00-05:00,2025-01-04T09:00:00+00:00,2025-01-04T10:00:00+00:00,MOD-00257,60,46.687,-1.91,0.66,0.697,1.184,110.486,2.333,33.191,24.078,0
2025-01-04T05:00:00-05:00,2025-01-04T06:00:00-05:00,2025-01-04T10:00:00+00:00,2025-01-04T11:00:00+00:00,MOD-00257,60,49.435,-2.248,0.609,0.651,0.863,116.55,2.797,33.604,23.16,0
2025-01-04T06:00:00-05:00,2025-01-04T07:00:00-05:00,2025-01-04T11:00:00+00:00,2025-01-04T12:00:00+00:00,MOD-00257,60,50.358,-2.548,0.665,0.811,5.395,118.725,2.797,33.67,22.487,0
2025-01-04T07:00:00-05:00,2025-01-04T08:00:00-05:00,2025-01-04T12:00:00+00:00,2025-01-04T13:00:00+00:00,MOD-00257,60,50.223,-2.368,0.723,0.783,2.532,124.098,2.774,33.357,23.292,0
2025-01-04T08:00:00-05:00,2025-01-04T09:00:00-05:00,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,MOD-00257,60,44.737,-1.323,1.165,1.222,3.442,125.558,2.081,32.341,24.543,0
2025-01-04T09:00:00-05:00,2025-01-04T10:00:00-05:00,2025-01-04T14:00:00+00:00,2025-01-04T15:00:00+00:00,MOD-00257,60,42.753,-0.42,1.095,1.149,2.715,126.82,1.726,32.221,25.477,0
2025-01-04T10:00:00-05:00,2025-01-04T11:00:00-05:00,2025-01-04T15:00:00+00:00,2025-01-04T16:00:00+00:00,MOD-00257,60,37.883,1.11,1.228,1.305,3.766,134.27,1.851,31.605,26.572,0
2025-01-04T11:00:00-05:00,2025-01-04T12:00:00-05:00,2025-01-04T16:00:00+00:00,2025-01-04T17:00:00+00:00,MOD-00257,60,33.027,2.73,1.095,1.169,2.77,130.47,2.023,31.094,28.881,0
2025-01-04T12:00:00-05:00,2025-01-04T13:00:00-05:00,2025-01-04T17:00:00+00:00,2025-01-04T18:00:00+00:00,MOD-00257,60,27.195,5.397,1.05,1.106,3.271,130.258,2.112,22.943,29.741,0
2025-01-04T13:00:00-05:00,2025-01-04T14:00:00-05:00,2025-01-04T18:00:00+00:00,2025-01-04T19:00:00+00:00,MOD-00257,60,24.733,5.947,0.936,1.007,3.177,123.275,2.499,25.057,29.124,0
2025-01-04T14:00:00-05:00,2025-01-04T15:00:00-05:00,2025-01-04T19:00:00+00:00,2025-01-04T20:00:00+00:00,MOD-00257,60,27.203,4.278,0.82,0.891,3.399,123.592,1.981,30.994,26.179,0
2025-01-04T15:00:00-05:00,2025-01-04T16:00:00-05:00,2025-01-04T20:00:00+00:00,2025-01-04T21:00:00+00:00,MOD-00257,60,32.71,1.467,0.69,0.782,4.435,126.738,1.866,34.981,22.081,0
2025-01-04T16:00:00-05:00,2025-01-04T17:00:00-05:00,2025-01-04T21:00:00+00:00,2025-01-04T22:00:00+00:00,MOD-00257,60,38.927,-1.02,0.709,0.793,4.321,129.006,1.881,35.424,23.901,0
2025-01-04T17:00:00-05:00,2025-01-04T18:00:00-05:00,2025-01-04T22:00:00+00:00,2025-01-04T23:00:00+00:00,MOD-00257,60,42.618,-1.643,1.063,1.138,2.646,145.08,1.856,35.512,23.42,0
2025-01-04T18:00:00-05:00,2025-01-04T19:00:00-05:00,2025-01-04T23:00:00+00:00,2025-01-05T00:00:00+00:00,MOD-00257,60,44.535,-1.94,1.377,1.429,3.017,150.713,2.02,35.312,23.379,0
2025-01-04T19:00:00-05:00,2025-01-04T20:00:00-05:00,2025-01-05T00:00:00+00:00,2025-01-05T01:00:00+00:00,MOD-00257,60,44.887,-1.14,1.36,1.412,2.568,143.007,2.151,34.609,25.525,0
2025-01-04T20:00:00-05:00,2025-01-04T21:00:00-05:00,2025-01-05T01:00:00+00:00,2025-01-05T02:00:00+00:00,MOD-00257,60,46.422,-0.8,1.929,2,3.26,134.984,2.396,34.349,24.396,0
2025-01-04T21:00:00-05:00,2025-01-04T22:00:00-05:00,2025-01-05T02:00:00+00:00,2025-01-05T03:00:00+00:00,MOD-00257,60,46.213,-0.37,1.99,2.075,2.949,128.309,2.484,33.983,24.574,0
2025-01-04T22:00:00-05:00,2025-01-04T23:00:00-05:00,2025-01-05T03:00:00+00:00,2025-01-05T04:00:00+00:00,MOD-00257,60,46.053,-0.3,2.096,2.185,3.827,128.355,2.476,33.789,23.86,0
