period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10>150?
2025-01-01T00:00:00-05:00,2025-01-01T01:00:00-05:00,2025-01-01T05:00:00+00:00,2025-01-01T06:00:00+00:00,MOD-00238,60,86.567,7.157,1.175,4.666,44.676,279.507,2.585,3.026,108.935,0
2025-01-01T01:00:00-05:00,2025-01-01T02:00:00-05:00,2025-01-01T06:00:00+00:00,2025-01-01T07:00:00+00:00,MOD-00238,60,83.018,8.118,1.669,6.391,51.006,265.482,2.272,3.123,108.849,0
2025-01-01T02:00:00-05:00,2025-01-01T03:00:00-05:00,2025-01-01T07:00:00+00:00,2025-01-01T08:00:00+00:00,MOD-00238,60,87.925,8.018,1.329,10.305,107.532,254.623,2.568,2.968,110.875,0
2025-01-01T03:00:00-05:00,2025-01-01T04:00:00-05:00,2025-01-01T08:00:00+00:00,2025-01-01T09:00:00+00:00,MOD-00238,60,89.885,8.073,1.198,11.714,142.815,247.16,3.094,2.857,112.355,0
2025-01-01T04:00:00-05:00,2025-01-01T05:00:00-05:00,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00,MOD-00238,60,89.94,8.212,1.088,10.906,90.607,239.793,3.293,2.857,112.136,0
2025-01-01T05:00:00-05:00,2025-01-01T06:00:00-05:00,2025-01-01T10:00:00+00:00,2025-01-01T11:00:00+00:00,MOD-00238,60,90.153,8.435,1.321,11.932,133.897,275.672,3.394,3.067,110.627,0
2025-01-01T06:00:00-05:00,2025-01-01T07:00:00-05:00,2025-01-01T11:00:00+00:00,2025-01-01T12:00:00+00:00,MOD-00238,60,90.18,8.902,1.101,11.744,105.727,247.133,3.435,3.477,106.026,0
2025-01-01T07:00:00-05:00,2025-01-01T08:00:00-05:00,2025-01-01T12:00:00+00:00,2025-01-01T13:00:00+00:00,MOD-00238,60,89.717,9.075,0.867,8.057,60.677,249.237,3.371,3.372,104.498,0
2025-01-01T08:00:00-05:00,2025-01-01T09:00:00-05:00,2025-01-01T13:00:00+00:00,2025-01-01T14:00:00+00:00,MOD-00238,60,89.875,9.003,0.907,5.114,34.94,304.322,3.509,3.566,103.812,0
2025-01-01T09:00:00-05:00,2025-01-01T10:00:00-05:00,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,MOD-00238,60,89.815,9.23,0.92,4.338,35.441,312.724,3.383,3.242,109.08,0
2025-01-01T10:00:00-05:00,2025-01-01T11:00:00-05:00,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,MOD-00238,60,88.162,9.79,0.527,2.398,45.214,371.317,3.248,3.186,104.269,0
2025-01-01T11:00:00-05:00,2025-01-01T12:00:00-05:00,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,MOD-00238,60,85.737,10.075,0.451,1.517,21.707,372.854,2.736,3.025,104.54,0
2025-01-01T12:00:00-05:00,2025-01-01T13:00:00-05:00,2025-01-01T17:00:00+00:00,2025-01-01T18:00:00+00:00,MOD-00238,60,86.08,9.95,0.416,1.292,17.97,393.767,2.74,3.027,105.179,0
2025-01-01T13:00:00-05:00,2025-01-01T14:00:00-05:00,2025-01-01T18:00:00+00:00,2025-01-01T19:00:00+00:00,MOD-00238,60,85.522,9.71,0.373,1.005,14.221,414.881,2.597,3.014,103.678,0
2025-01-01T14:00:00-05:00,2025-01-01T15:00:00-05:00,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,MOD-00238,60,84.117,9.168,0.245,0.528,5.748,372.567,2.39,3.081,102.66,0
2025-01-01T15:00:00-05:00,2025-01-01T16:00:00-05:00,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,MOD-00238,60,80.932,9.028,0.33,0.452,1.398,395.285,2.217,3.529,101.33,0
2025-01-01T16:00:00-05:00,2025-01-01T17:00:00-05:00,2025-01-01T21:00:00+00:00,2025-01-01T22:00:00+00:00,MOD-00238,60,81.747,8.73,0.361,0.481,1.822,416.272,2.265,3.459,100.25,0
2025-01-01T17:00:00-05:00,2025-01-01T18:00:00-05:00,2025-01-01T22:00:00+00:00,2025-01-01T23:00:00+00:00,MOD-00238,60,82.265,8.532,0.576,0.73,1.799,404.065,2.28,3.289,97.932,0
