period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10 > 150?
2024-01-01T00:00:00-05:00,2024-01-01T01:00:00-05:00,2024-01-01T05:00:00+00:00,2024-01-01T06:00:00+00:00,MOD-00248,60,56.355,2.607,4.923,5.022,5.815,383.221,1.974,30.169,23.519,0
2024-01-01T01:00:00-05:00,2024-01-01T02:00:00-05:00,2024-01-01T06:00:00+00:00,2024-01-01T07:00:00+00:00,MOD-00248,60,54.227,2.448,3.308,3.398,4.526,395.502,2.384,28.841,27.491,0
2024-01-01T02:00:00-05:00,2024-01-01T03:00:00-05:00,2024-01-01T07:00:00+00:00,2024-01-01T08:00:00+00:00,MOD-00248,60,54.47,2.357,3.028,3.117,4.304,386.986,2.366,28.291,28.601,0
2024-01-01T03:00:00-05:00,2024-01-01T04:00:00-05:00,2024-01-01T08:00:00+00:00,2024-01-01T09:00:00+00:00,MOD-00248,60,55.337,2.3,2.727,2.8,4.335,380.761,2.14,28.95,27.044,0
2024-01-01T04:00:00-05:00,2024-01-01T05:00:00-05:00,2024-01-01T09:00:00+00:00,2024-01-01T10:00:00+00:00,MOD-00248,60,55.648,2.375,2.964,3.036,3.948,345.508,2.005,29.037,26.609,0
2024-01-01T05:00:00-05:00,2024-01-01T06:00:00-05:00,2024-01-01T10:00:00+00:00,2024-01-01T11:00:00+00:00,MOD-00248,60,57.15,2.32,3.942,4.019,5.185,329.46,1.966,30.439,23.264,0
2024-01-01T06:00:00-05:00,2024-01-01T07:00:00-05:00,2024-01-01T11:00:00+00:00,2024-01-01T12:00:00+00:00,MOD-00248,60,57.902,2.217,4.277,4.351,4.933,288.113,2.094,30.269,23.05,0
2024-01-01T07:00:00-05:00,2024-01-01T08:00:00-05:00,2024-01-01T12:00:00+00:00,2024-01-01T13:00:00+00:00,MOD-00248,60,57.638,2.023,3.128,3.195,3.801,258.302,2.045,29.291,24.737,0
2024-01-01T08:00:00-05:00,2024-01-01T09:00:00-05:00,2024-01-01T13:00:00+00:00,2024-01-01T14:00:00+00:00,MOD-00248,60,58.238,2.155,3.282,3.354,3.809,234.64,2.198,30.286,21.627,0
2024-01-01T09:00:00-05:00,2024-01-01T10:00:00-05:00,2024-01-01T14:00:00+00:00,2024-01-01T15:00:00+00:00,MOD-00248,60,51.485,3.855,3.158,3.232,3.949,245.171,2.061,27.31,26.026,0
2024-01-01T10:00:00-05:00,2024-01-01T11:00:00-05:00,2024-01-01T15:00:00+00:00,2024-01-01T16:00:00+00:00,MOD-00248,60,46.667,5.383,3.571,3.664,4.878,271.383,1.873,26.589,27.721,0
2024-01-01T11:00:00-05:00,2024-01-01T12:00:00-05:00,2024-01-01T16:00:00+00:00,2024-01-01T17:00:00+00:00,MOD-00248,60,42.663,6.885,3.688,3.785,4.607,274.185,2.205,24.581,31.559,0
2024-01-01T12:00:00-05:00,2024-01-01T13:00:00-05:00,2024-01-01T17:00:00+00:00,2024-01-01T18:00:00+00:00,MOD-00248,60,44.662,6.093,3.547,3.647,4.114,267.744,2.009,26.046,31.352,0
2024-01-01T13:00:00-05:00,2024-01-01T14:00:00-05:00,2024-01-01T18:00:00+00:00,2024-01-01T19:00:00+00:00,MOD-00248,60,43.105,6.613,3.828,3.926,5.672,284.696,2.17,25.971,31.223,0
2024-01-01T14:00:00-05:00,2024-01-01T15:00:00-05:00,2024-01-01T19:00:00+00:00,2024-01-01T20:00:00+00:00,MOD-00248,60,39.458,8.148,4.378,4.497,5.733,296.01,1.879,24.838,32.456,0
2024-01-01T15:00:00-05:00,2024-01-01T16:00:00-05:00,2024-01-01T20:00:00+00:00,2024-01-01T21:00:00+00:00,MOD-00248,60,42.088,7.135,5.215,5.333,6.874,373.467,2.093,27.497,30.616,0
2024-01-01T16:00:00-05:00,2024-01-01T17:00:00-05:00,2024-01-01T21:00:00+00:00,2024-01-01T22:00:00+00:00,MOD-00248,60,50.612,4.352,5.349,5.498,7.242,454.304,2.011,31.962,24.46,0
2024-01-01T17:00:00-05:00,2024-01-01T18:00:00-05:00,2024-01-01T22:00:00+00:00,2024-01-01T23:00:00+00:00,MOD-00248,60,56.792,2.967,4.41,4.542,6.32,335.236,2.3,32.467,23.667,0
2024-01-01T18:00:00-05:00,2024-01-01T19:00:00-05:00,2024-01-01T23:00:00+00:00,2024-01-02T00:00:00+00:00,MOD-00248,60,67.263,1.615,3.642,3.735,5.769,293.931,1.723,33.947,20.117,0
2024-01-01T19:00:00-05:00,2024-01-01T20:00:00-05:00,2024-01-02T00:00:00+00:00,2024-01-02T01:00:00+00:00,MOD-00248,60,70.958,1.075,7.083,7.259,9.861,391.388,1.668,35.462,14.234,0
2024-01-01T20:00:00-05:00,2024-01-01T21:00:00-05:00,2024-01-02T01:00:00+00:00,2024-01-02T02:00:00+00:00,MOD-00248,60,66.932,0.818,7.415,7.586,9.861,425.49,1.961,34.767,12.776,0
2024-01-01T21:00:00-05:00,2024-01-01T22:00:00-05:00,2024-01-02T02:00:00+00:00,2024-01-02T03:00:00+00:00,MOD-00248,60,57.73,0.173,5.739,5.898,7.349,367.166,1.903,30.419,21.123,0
