period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,rh,temp,pm1,pm25,pm10,co,no,no2,o3,pm10>150?
2025-01-01T00:00:00-05:00,2025-01-01T01:00:00-05:00,2025-01-01T05:00:00+00:00,2025-01-01T06:00:00+00:00,MOD-00248,60,86.768,7.097,2.251,4.219,22.343,161.907,2.49,29.728,29.342,0
2025-01-01T01:00:00-05:00,2025-01-01T02:00:00-05:00,2025-01-01T06:00:00+00:00,2025-01-01T07:00:00+00:00,MOD-00248,60,83.347,8.027,3.029,5.628,27.834,151.028,2.272,28.755,31.696,0
2025-01-01T02:00:00-05:00,2025-01-01T03:00:00-05:00,2025-01-01T07:00:00+00:00,2025-01-01T08:00:00+00:00,MOD-00248,60,88.647,7.982,2.232,7.102,61.362,139.874,2.531,28.722,32.096,0
2025-01-01T03:00:00-05:00,2025-01-01T04:00:00-05:00,2025-01-01T08:00:00+00:00,2025-01-01T09:00:00+00:00,MOD-00248,60,90.913,8.038,1.975,7.723,84.271,135.993,2.753,14.553,32.675,0
2025-01-01T04:00:00-05:00,2025-01-01T05:00:00-05:00,2025-01-01T09:00:00+00:00,2025-01-01T10:00:00+00:00,MOD-00248,60,91.083,8.193,1.695,6.522,51.233,125.599,2.831,17.424,31.704,0
2025-01-01T05:00:00-05:00,2025-01-01T06:00:00-05:00,2025-01-01T10:00:00+00:00,2025-01-01T11:00:00+00:00,MOD-00248,60,91.142,8.402,2.004,7.545,75.439,161.503,3.104,22.615,28.213,0
2025-01-01T06:00:00-05:00,2025-01-01T07:00:00-05:00,2025-01-01T11:00:00+00:00,2025-01-01T12:00:00+00:00,MOD-00248,60,91.363,8.862,1.654,6.815,61.93,134.318,3.411,32.162,20.014,0
2025-01-01T07:00:00-05:00,2025-01-01T08:00:00-05:00,2025-01-01T12:00:00+00:00,2025-01-01T13:00:00+00:00,MOD-00248,60,91.088,8.988,1.306,4.164,31.641,133.993,3.356,32.388,18.712,0
2025-01-01T08:00:00-05:00,2025-01-01T09:00:00-05:00,2025-01-01T13:00:00+00:00,2025-01-01T14:00:00+00:00,MOD-00248,60,91.25,8.918,1.385,2.814,17.069,198.389,3.441,33.422,16.293,0
2025-01-01T09:00:00-05:00,2025-01-01T10:00:00-05:00,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,MOD-00248,60,91.233,9.13,1.463,3.057,22.156,206.471,3.368,29.43,24.579,0
